epoch,accuracy,loss,val_accuracy,val_loss
0,0.85749716,0.44617238308980106,0.8406555,0.6081952917931219
1,0.9629157,0.11364191499499354,0.8512683,0.6641246534525476
2,0.97896236,0.06496318032568704,0.85305524,0.66697274449699
3,0.98550606,0.04591807248037286,0.8658037,0.661237012923564
4,0.9886301,0.03591609317020015,0.87672156,0.6294109035292095
5,0.990578,0.030316725684647036,0.8773971,0.5948283268012365
6,0.9919658,0.025680016203858375,0.897446,0.5116618536126143
7,0.99305487,0.022084239647340836,0.8205195,1.0806884437414974
8,0.99362427,0.0202257881338595,0.87179655,0.6799620584275631
9,0.9947507,0.01732410163737139,0.8909301,0.562258788669325

0,0.9992221,0.002527918639711305,0.92505664,0.4310006991269251
1,0.9997884,0.0006727651364134239,0.9249695,0.4682138677020953
2,0.9998693,0.00042584947310614867,0.9261681,0.46443639582904617
3,0.9998973,0.000383844812966607,0.9273884,0.46972193974355114
4,0.99990976,0.0002664537513957148,0.9274756,0.4823661973993562
