epoch,accuracy,loss,val_accuracy,val_loss
0,0.27633217,2.5871435061868917,0.22552447,3.0265231161684425
1,0.3864542,2.1092663220615977,0.2298951,3.2584677326095686
2,0.42293328,1.973455037135052,0.21940559,3.377488299266442
3,0.44086155,1.9087264650312077,0.23645104,3.480840775516483
4,0.45661107,1.8545639280719586,0.22552447,3.6793833429163154


0,0.3515314,2.2430929714643146,0.28627622,3.9059200687008304
1,0.52384216,1.548741787078371,0.55375874,1.4776734043811481
2,0.6037724,1.2680403340414939,0.22202797,3.726358502478033
3,0.66303533,1.0709366319975648,0.64685315,1.1367124682748235
4,0.70953685,0.9083535266201572,0.6416084,1.271780500462005
5,0.75192976,0.7711216104476605,0.66083914,1.138487925531564
6,0.78766185,0.6471234266683311,0.75393355,0.7874976419746043
7,0.8158616,0.5622349977604599,0.7137238,0.9780704317471156
8,0.8374004,0.49909843681324495,0.7827797,0.7539170592326436
9,0.8566982,0.42991000189482087,0.6429196,1.4077353815294125
10,0.8774278,0.364843010772771,0.7255245,1.0816430408325228
11,0.8880727,0.33108060030636294,0.73295456,0.9406821767252486
12,0.9046315,0.28531509361381036,0.70454544,1.1912597710644448
13,0.91085654,0.26723329941641244,0.77840906,0.8165940315449624
14,0.9213147,0.23222133347883345,0.75262237,0.9309126778955122
15,0.92828685,0.2132485437833236,0.7395105,1.048868081708263
16,0.9348232,0.19179749066297444,0.7618007,0.9672819699642697
17,0.94173306,0.17809816362082112,0.79195803,0.7992002418658768
18,0.94341385,0.1714569458579978,0.7626748,0.988432267932319
19,0.9504482,0.14956616005146356,0.743007,1.1760839304782555
