epoch,accuracy,loss,val_accuracy,val_loss
0,0.2808765,2.5803985649727257,0.23732518,2.8781407875614566
1,0.38483566,2.099931609672142,0.19536713,3.4938446195809156
2,0.42112797,1.972732844372907,0.21853147,3.5209469295048215
3,0.43743774,1.8913095779271716,0.24956293,3.156056709639676
4,0.45468128,1.8383481361535916,0.22421329,3.4459623836137196
5,0.46906126,1.7989002400601053,0.2229021,3.6408674791976288
6,0.4688745,1.7775659273226423,0.24912587,3.5056334538059635
7,0.48076445,1.752852333390499,0.23251748,3.6591128273443743
8,0.49028885,1.7173415086718196,0.25,3.455482672144483
9,0.48686504,1.72506455432965,0.23994756,3.614032063034031
10,0.4877988,1.701584878522324,0.24606644,3.4873744518189995
11,0.49769673,1.693139958191678,0.2631119,3.2255043720865584
12,0.50541586,1.672182074759111,0.27622378,3.2029834510563138
13,0.49794573,1.6835958114658218,0.23295455,3.7632961139812338
14,0.50921315,1.6484948975067453,0.23951049,3.61228115950431
15,0.50653636,1.651977173538797,0.25043705,3.4301670695935096
16,0.5078436,1.6446458471352716,0.25655594,3.468265877320216
17,0.5122012,1.6355603748999268,0.23076923,3.6068251170478502
18,0.5111429,1.6290242066569776,0.2561189,3.538588296283375
19,0.51313496,1.6141136189648118,0.24912587,3.5689903176747837
